symbol,address,decimal,order_size,err
TONCOIN,0x582d872a1b094fc48f5de31d3b73f2d9be47def1,9,,None
TAMA,0x12b6893ce26ea6341919fe289212ef77e51688c8,18,,None
WOO,0x4691937a7508860f876c9c0a2a617e7d9e945d4b,18,,None
WOOL,0x8355dbe8b0e275abad27eb843f3eaf3fc855e525,18,,None
SD,0x30d20208d987713f46dfd34ef128bb16c404d10f,18,,None
PREMIA,0x6399c842dd2be3de30bf99bc7d1bbf6fa3650e70,18,,None
THOR,0xa5f2211b9b8170f694421f2046281775e8468044,18,,None
GYEN,0xc08512927d12348f6620a698105e1baac6ecd911,6,,None
MASQ,0x06f3c323f0238c72bf35011071f2b5b7f43a054c,18,,None
ASTO,0x823556202e86763853b40e9cde725f412e294689,18,,None
PLSD,0x34f0915a5f15a66eba86f6a58be1a471fb7836a7,12,,None
TEMPLE,0x470ebf5f030ed85fc1ed4c2d36b9dd02e77cf1b7,18,,None
RBN,0x6123b0049f904d730db3c36a31167d9d4121fa6b,18,,None
UFO,0x249e38ea4102d0cf8264d3701f1a0e39c4f2dc3b,18,,None
OPENAI,0x6a6aa13393b7d1100c00a57c76c39e8b6c835041,9,,None
DC,0x7b4328c127b85369d9f82ca0503b000d09cf9180,18,,None
VRA,0xf411903cbc70a74d22900a5de66a2dda66507255,18,,None
OMI,0xed35af169af46a02ee13b9d79eb57d6d68c1749e,18,,None
gOHM,0x0ab87046fbb341d058f17cbc4c1133f25a20a52f,18,,None
CULT,0xf0f9d895aca5c8678f706fb8216fa22957685a13,18,,None
wNXM,0x0d438f3b5175bebc262bf23753c1e53d03432bde,18,,None
RAI,0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,18,,None
SOL,0xd31a59c85ae9d8edefec411d448f90841571b89c,9,,None
ALCX,0xdbdb4d16eda451d0503b854cf79d55697f90c8df,18,,None
LCX,0x037a54aab062628c9bbae1fdb1583c195585fe41,18,,None
SAITO,0xfa14fa6958401314851a17d6c5360ca29f74b57b,18,,None
KROM,0x3af33bef05c2dcb3c7288b77fe1c8d2aeba4d789,18,,None
FOX,0xc770eefad204b5180df6a14ee197d99d808ee52d,18,,None
ZRX,0xe41d2489571d322189246dafa5ebde1f4699f498,18,,None
MNW,0xd3e4ba569045546d09cf021ecc5dfe42b1d7f6e4,18,,None
AMPL,0xd46ba6d942050d489dbd938a2c909a5d5039a161,9,,None
AURA,0xc0c293ce456ff0ed870add98a0828dd4d2903dbf,18,,None
UNIDX,0x95b3497bbcccc46a8f45f5cf54b0878b39f8d96c,18,,None
LQTY,0x6dea81c8171d0ba574754ef6f8b412f2ed88c54d,18,,None
SHI,0x243cacb4d5ff6814ad668c3e225246efa886ad5a,18,,None
NEWO,0x98585dfc8d9e7d48f0b1ae47ce33332cf4237d96,18,,None
BEND,0x0d02755a5700414b26ff040e1de35d337df56218,18,,None
DECI,0x6b32022693210cd2cfc466b9ac0085de8fc34ea6,8,,None
USDC,0x41f7b8b9b897276b7aae926a9016935280b44e97,6,,None
sETH2,0xfe2e637202056d30016725477c5da089ab0a043a,18,,None
cvxFXS,0xfeef77d3f69374f66429c91d732a244f074bdf74,18,,None
RAIL,0xe76c6c83af64e4c60245d8c7de953df673a7a33d,18,,None
PLSB,0x5ee84583f67d5ecea5420dbb42b462896e7f8d06,12,,None
LUNA,0xd2877702675e6ceb975b4a1dff9fb7baf4c91ea9,18,,None
NTX,0xf0d33beda4d734c72684b5f9abbebf715d0a7935,6,,None
HAPI,0xd9c2d319cd7e6177336b0a9c93c21cb48d84fb54,18,,None
LON,0x0000000000095413afc295d19edeb1ad7b71c952,18,,None
EUL,0xd9fcd98c322942075a5c3860693e9f4f03aae07b,18,,None
LEASH,0x27c70cd1946795b66be9d954418546998b546634,18,,None
OCEAN,0x967da4048cd07ab37855c090aaf366e4ce1b9f48,18,,None
ICSA,0xfc4913214444af5c715cc9f7b52655e788a569ed,9,,None
OHMI,0x4159862bcf6b4393a80550b1ed03dffa6f90533c,18,,None
TRG,0x93eeb426782bd88fcd4b48d7b0368cf061044928,18,,None
GET,0x8a854288a5976036a725879164ca3e91d30c6a1b,18,,None
CHZ,0x3506424f91fd33084466f402d5d97f05f8e3b4af,18,,None
FET,0xaea46a60368a7bd060eec7df8cba43b7ef41ad85,18,,None
FEI,0x956f47f50a910163d8bf957cf5846d573e7f87ca,18,,None
SOCKS,0x23b608675a2b2fb1890d3abbd85c5775c51691d5,18,,None
COMP,0xc00e94cb662c3520282e6f5717214004a7f26888,18,,None
GREEN,0xb2089a7069861c8d90c8da3aacab8e9188c0c531,8,,None
FLOOR,0xf59257e961883636290411c11ec5ae622d19455e,9,,None
MLT,0x9506d37f70eb4c3d79c398d326c871abbf10521d,18,,None
ENJ,0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c,18,,None
GOVI,0xeeaa40b28a2d1b0b08f6f97bb1dd4b75316c6107,18,,None
xFUND,0x892a6f9df0147e5f079b0993f486f9aca3c87881,9,,None
XSGD,0x70e8de73ce538da2beed35d14187f6959a8eca96,6,,None
LIT,0xfd0205066521550d7d7ab19da8f72bb004b4c341,18,,None
IMX,0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,18,,None
RBIF,0x7b32e70e8d73ac87c1b342e063528b2930b15ceb,9,,None
PUNK,0x269616d549d7e8eaa82dfb17028d0b212d11232a,18,,None
JASMY,0x7420b4b9a0110cdc71fb720908340c03f9bc03ec,18,,None
SOS,0x3b484b82567a09e2588a13d54d032153f0c0aee0,18,,None
REN,0x408e41876cccdc0f92210600ef50372656052a38,18,,None
agEUR,0x1a7e4e63778b4f12a199c062f3efdd288afcbce8,18,,None
PENDLE,0x808507121b80c02388fad14726482e061b8da827,18,,None
MASK,0x69af81e73a73b40adf4f3d4223cd9b1ece623074,18,,None
DOGEGF,0xfb130d93e49dca13264344966a611dc79a456bc5,18,,None
BNT,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,18,,None
DPI,0x1494ca1f11d487c2bbe4543e90080aeba4ba3c2b,18,,None
CELL,0x26c8afbbfe1ebaca03c2bb082e69d0476bffe099,18,,None
RPL,0xb4efd85c19999d84251304bda99e90b92300bd93,18,,None
FLOKI,0xcf0c122c6b73ff809c693db761e7baebe62b6a2e,9,,None
RAE,0xe5a3229ccb22b6484594973a03a3851dcd948756,18,,None
STOS,0x08c32b0726c5684024ea6e141c50ade9690bbdcc,18,,None
XDEFI,0x72b886d09c117654ab7da13a14d603001de0b777,18,,None
ankrETH,0xe95a203b1a91a908f9b9ce46459d101078c2c3cb,18,,None
SDAO,0x993864e43caa7f7f12953ad6feb1d1ca635b875f,18,,None
UOS,0xd13c7342e1ef687c5ad21b27c2b65d772cab5c8c,4,,None
POOL,0x0cec1a9154ff802e7934fc916ed7ca50bde6844e,18,,None
D2T,0x4dd942baa75810a3c1e876e79d5cd35e09c97a76,18,,None
FLX,0x6243d8cea23066d098a15582d81a598b4e8391f4,18,,None
